dataset,person,site,beta_mean,beta_sd,sigma,p_outlier,p_gt0,p_lt0,p_near,p_in_direction,p_opposite_direction,effect_direction,responder,near_zero,opposite,high_precision
Stroop,667736,UNKNOWN,-0.1012778750467,0.03240050241670329,0.03240050241670329,NA,8.865747288544501e-4,0.9991134252711455,0.005970718221033788,0.9991134252711455,8.865747288544501e-4,-1,TRUE,FALSE,FALSE,TRUE
Stroop,668587,UNKNOWN,-0.106867680292725,0.03485144297732916,0.03485144297732916,NA,0.001083347885903141,0.9989166521140969,0.006205940433209101,0.9989166521140969,0.001083347885903141,-1,TRUE,FALSE,FALSE,FALSE
Stroop,673719,UNKNOWN,-0.0644997344720775,0.03434962300505095,0.03434962300505095,NA,0.030208224746695267,0.9697917752533047,0.09062787368708025,0.9697917752533047,0.030208224746695267,-1,TRUE,FALSE,FALSE,FALSE
Stroop,674887,UNKNOWN,-0.0927450983384,0.03170381215742158,0.03170381215742158,NA,0.0017202837387126912,0.9982797162612873,0.010692134129080877,0.9982797162612873,0.0017202837387126912,-1,TRUE,FALSE,FALSE,TRUE
Stroop,674964,UNKNOWN,-0.085835748251735,0.0313751908052052,0.0313751908052052,NA,0.003111592030414667,0.9968884079695853,0.017566199886825506,0.9968884079695853,0.003111592030414667,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675118,MichiganStateUniversity,-0.07920693245133,0.0330005976699941,0.0330005976699941,NA,0.00819380564412786,0.9918061943558721,0.03507464603087995,0.9918061943558721,0.00819380564412786,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675119,MichiganStateUniversity,-0.076950050362964,0.0349267059509363,0.0349267059509363,NA,0.013790799859933367,0.9862092001400666,0.048738534046281035,0.9862092001400666,0.013790799859933367,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675120,MichiganStateUniversity,-0.06560225101075524,0.03234458895772173,0.03234458895772173,NA,0.02126841281383829,0.9787315871861617,0.07522074203634643,0.9787315871861617,0.02126841281383829,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675163,MichiganStateUniversity,-0.0811406712637275,0.03420432781172945,0.03420432781172945,NA,0.00884044322076838,0.9911595567792316,0.03537386317542979,0.9911595567792316,0.00884044322076838,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675165,MichiganStateUniversity,-0.052306742911371,0.03370313532454071,0.03370313532454071,NA,0.060332968738254666,0.9396670312617453,0.1529278441477937,0.9396670312617453,0.060332968738254666,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675171,MichiganStateUniversity,-0.05329283148872775,0.03166895901313052,0.03166895901313052,NA,0.04620596810303146,0.9537940318969685,0.13624135574089047,0.9537940318969685,0.04620596810303146,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675174,MichiganStateUniversity,-0.0496249235375345,0.03383641359293892,0.03383641359293892,NA,0.07124068285091079,0.9287593171490892,0.1708319197699869,0.9287593171490892,0.07124068285091079,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675175,MichiganStateUniversity,-0.06268799042678525,0.03246159116235005,0.03246159116235005,NA,0.02673265506960598,0.973267344930394,0.08882110091075379,0.973267344930394,0.02673265506960598,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675181,MichiganStateUniversity,-0.0828747352903075,0.03293580518893584,0.03293580518893584,NA,0.005930542840663966,0.994069457159336,0.027236898676398558,0.994069457159336,0.005930542840663966,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675187,MichiganStateUniversity,-0.05686037952751862,0.03243662483644358,0.03243662483644358,NA,0.039803712551003234,0.9601962874489968,0.11899372961464683,0.9601962874489968,0.039803712551003234,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675189,MichiganStateUniversity,-0.067716877580859,0.03176817615944206,0.03176817615944206,NA,0.016520087780251602,0.9834799122197484,0.0636643154642258,0.9834799122197484,0.016520087780251602,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675194,MichiganStateUniversity,-0.075761643731675,0.03308111083306508,0.03308111083306508,NA,0.011005490046439914,0.9889945099535601,0.04403879026364943,0.9889945099535601,0.011005490046439914,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675197,MichiganStateUniversity,-0.08699548398166175,0.0341130666080125,0.0341130666080125,NA,0.005382902284432611,0.9946170977155674,0.02391452973297059,0.9946170977155674,0.005382902284432611,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675204,MichiganStateUniversity,-0.0607759146630655,0.03389971211037127,0.03389971211037127,NA,0.03650124968697621,0.9634987503130238,0.1059282243042694,0.9634987503130238,0.03650124968697621,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675205,MichiganStateUniversity,-0.0753587243706875,0.03296234707333736,0.03296234707333736,NA,0.011121097229789711,0.9888789027702103,0.04462370668942517,0.9888789027702103,0.011121097229789711,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675206,MichiganStateUniversity,-0.05464934040272,0.03193566111501755,0.03193566111501755,NA,0.04351910300130424,0.9564808969986958,0.12925991715702845,0.9564808969986958,0.04351910300130424,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675210,MichiganStateUniversity,-0.06899877158763,0.0317507567688687,0.0317507567688687,NA,0.014884971520931933,0.9851150284790681,0.05885615747890338,0.9851150284790681,0.014884971520931933,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675215,MichiganStateUniversity,-0.0522662597610538,0.03269041121289633,0.03269041121289633,NA,0.05492970186409085,0.9450702981359091,0.14828425434217218,0.9450702981359091,0.05492970186409085,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675216,MichiganStateUniversity,-0.057727858864317,0.03418309286987362,0.03418309286987362,NA,0.045630419610147466,0.9543695803898525,0.12337483302731123,0.9543695803898525,0.045630419610147466,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675217,MichiganStateUniversity,-0.07217692680214,0.0324602078784891,0.0324602078784891,NA,0.013089335139772729,0.9869106648602273,0.05172414273321446,0.9869106648602273,0.013089335139772729,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675218,MichiganStateUniversity,-0.0524693242539685,0.03213603630845117,0.03213603630845117,NA,0.051263376465773725,0.9487366235342263,0.1440945879292186,0.9487366235342263,0.051263376465773725,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675220,MichiganStateUniversity,-0.06292987770874475,0.03133449337393345,0.03133449337393345,NA,0.02230433043065616,0.9776956695693438,0.08127010264915702,0.9776956695693438,0.02230433043065616,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675223,MichiganStateUniversity,-0.0859079063665,0.03100272550541484,0.03100272550541484,NA,0.002794400157854482,0.9972055998421455,0.016439208047590026,0.9972055998421455,0.002794400157854482,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675224,MichiganStateUniversity,-0.0709871697322795,0.03169140932167743,0.03169140932167743,NA,0.01254708718076758,0.9874529128192324,0.051777387790898355,0.9874529128192324,0.01254708718076758,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675225,MichiganStateUniversity,-0.09750367490985,0.034279083178184,0.034279083178184,NA,0.002224706440556057,0.9977752935594439,0.011576644980917816,0.9977752935594439,0.002224706440556057,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675234,MichiganStateUniversity,-0.037292875352363,0.03273972676045702,0.03273972676045702,NA,0.1273367579144058,0.8726632420855942,0.2586194006621707,0.8726632420855942,0.1273367579144058,-1,FALSE,FALSE,FALSE,TRUE
Stroop,675236,MichiganStateUniversity,-0.0816047980287425,0.03507943354808574,0.03507943354808574,NA,0.010001647007580439,0.9899983529924196,0.03764404614666361,0.9899983529924196,0.010001647007580439,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675237,MichiganStateUniversity,-0.06040043156540475,0.0327500518362996,0.0327500518362996,NA,0.03257080325893624,0.9674291967410638,0.10163138553015671,0.9674291967410638,0.03257080325893624,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675241,MichiganStateUniversity,-0.0682381853996675,0.03041957920863917,0.03041957920863917,NA,0.01244091628888222,0.9875590837111178,0.05453512758980139,0.9875590837111178,0.01244091628888222,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675243,MichiganStateUniversity,-0.0685415831152865,0.03266382063387654,0.03266382063387654,NA,0.017935153280030924,0.9820648467199691,0.06526968476406891,0.9820648467199691,0.017935153280030924,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675247,MichiganStateUniversity,-0.068362289846865,0.03317435346047372,0.03317435346047372,NA,0.01966597917481394,0.9803340208251861,0.06857906865579211,0.9803340208251861,0.01966597917481394,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675248,MichiganStateUniversity,-0.04335987002531975,0.03130093424391884,0.03130093424391884,NA,0.08298679345125604,0.917013206548744,0.20626933541583303,0.917013206548744,0.08298679345125604,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675249,MichiganStateUniversity,-0.04554830787107425,0.02953574785800356,0.02953574785800356,NA,0.06151958400267554,0.9384804159973245,0.1802868587530292,0.9384804159973245,0.06151958400267554,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675258,MichiganStateUniversity,-0.0747539316099584,0.03436271781925743,0.03436271781925743,NA,0.014798687988611725,0.9852013120113883,0.052621424902051794,0.9852013120113883,0.014798687988611725,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675260,MichiganStateUniversity,-0.0861464610660975,0.03444690142573917,0.03444690142573917,NA,0.006194818835750793,0.9938051811642492,0.026383563769246665,0.9938051811642492,0.006194818835750793,-1,TRUE,FALSE,FALSE,FALSE
Stroop,675261,MichiganStateUniversity,-0.0701963689344724,0.03214429262956356,0.03214429262956356,NA,0.014488859518939523,0.9855111404810605,0.05668354606974879,0.9855111404810605,0.014488859518939523,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675262,MichiganStateUniversity,-0.0454816903916805,0.03162536613845336,0.03162536613845336,NA,0.0751972288915278,0.9248027711084722,0.19099684770246728,0.9248027711084722,0.0751972288915278,-1,TRUE,FALSE,FALSE,TRUE
Stroop,675266,MichiganStateUniversity,-0.0287440579958599,0.03238064039576623,0.03238064039576623,NA,0.1873530377295296,0.8126469622704704,0.327447250837409,0.8126469622704704,0.1873530377295296,-1,FALSE,FALSE,FALSE,TRUE
Stroop,675388,MichiganStateUniversity,-0.06544903884792475,0.02954039076006155,0.02954039076006155,NA,0.01336020966806406,0.9866397903319359,0.06004822463086301,0.9866397903319359,0.01336020966806406,-1,TRUE,FALSE,FALSE,TRUE
