dataset,site,n,mean_beta,sd_beta,mean_sigma,frac_high_precision,frac_responder,predicted,residual
PSA001_Attractive,001,61,-0.6208414033142438,0.568617710167505,1.3929345863436133,0.39344262295081966,0.6885245901639344,-0.6478439428757683,0.02700253956152454
PSA001_Attractive,002,36,-0.4156560574242693,0.44315362733431396,1.1749262674231482,0.5277777777777778,0.6944444444444444,-0.5335684056087996,0.11791234818453028
PSA001_Attractive,003,23,-0.6738512201413307,0.34142744421378296,1.2745004110125906,0.43478260869565216,0.8695652173913043,-0.7008824115127225,0.02703119137139176
PSA001_Attractive,004,14,-0.29948681541171274,0.2980447906503933,1.1026856326928571,0.5714285714285714,0.6428571428571429,-0.38498694043497705,0.08550012502326432
PSA001_Attractive,005,22,-0.7094880760667135,0.9914121091770489,1.4118303191086174,0.36363636363636365,0.6363636363636364,-0.7973927962663727,0.08790472019965923
PSA001_Attractive,006,17,-0.5001460574619285,0.5957884938612896,1.3149785704030637,0.47058823529411764,0.7058823529411765,-0.6651121279871861,0.16496607052525758
PSA001_Attractive,007,6,-0.6289554832425523,0.32022562938973237,1.114146051539236,0.6666666666666666,0.8333333333333334,-0.6329707787320376,0.004015295489485204
PSA001_Attractive,008,10,-0.7089405735384974,0.5127447579679237,1.1873056674066667,0.6,0.8,-0.7053036734764551,-0.003636900062042314
PSA001_Attractive,009,6,-0.605260735374397,0.27698071548488074,1.2556684507569444,0.3333333333333333,1,-0.7875107160126349,0.18224998063823794
PSA001_Attractive,011,7,-0.741013505605098,0.3983674551589479,1.3022987666059525,0.42857142857142855,0.8571428571428571,-0.7245856279816972,-0.01642787762340081
PSA001_Attractive,012,4,-0.4783979839654227,0.1567209014141572,1.25977504740625,0.5,1,-0.7640920881295239,0.2856941041641012
PSA001_Attractive,014,5,-0.22957563211367726,0.3473901188314777,0.9388835688825,1,0.4,-0.15846274100192828,-0.07111289111174898
PSA001_Attractive,015,7,-0.35001881552080205,0.48499253366732703,1.1663088723452382,0.7142857142857143,0.8571428571428571,-0.7704890887555129,0.42047027323471087
PSA001_Attractive,017,6,-0.7070797262418831,0.5196984959021644,1.3624460340409723,0.3333333333333333,0.6666666666666666,-0.5751900938656087,-0.13188963237627438
PSA001_Attractive,018,6,-0.5173127543414872,0.3698095810823057,1.1449092093822917,0.6666666666666666,0.6666666666666666,-0.4827526448930798,-0.03456010944840737
PSA001_Attractive,020,6,-0.5229538831112033,0.6877054422676708,1.1664940492510416,0.5,0.6666666666666666,-0.6129143496087404,0.08996046649753708
PSA001_Attractive,022,1,-0.4485879910225,NA,0.71930426145,1,1,NA,NA
PSA001_Attractive,025,2,-0.8888460674969643,0.727794143772939,1.396092813884375,0.5,0.5,-0.5372059963285306,-0.35164007116843365
PSA001_Attractive,026,1,-0.75662532560625,NA,1.3178241526458334,0,1,NA,NA
PSA001_Attractive,030,3,-0.6713978963729466,0.17885500049563605,1.0943084982138889,0.3333333333333333,1,-0.6753609396036891,0.003963043230742591
PSA001_Attractive,031,1,-1.2327389449145834,NA,1.3383854312916668,0,1,NA,NA
PSA001_Attractive,033,1,-0.28152320829064165,NA,0.7226415341625,1,1,NA,NA
PSA001_Attractive,036,2,-1.2339217823791668,0.13489845926620395,1.2724310638635417,0.5,1,-0.7584727363388377,-0.4754490460403291
PSA001_Attractive,038,2,-0.5833571558333552,0.14732202579309425,1.2619232532062499,0.5,1,-0.7603571966590958,0.1770000408257406
PSA001_Attractive,039,1,-0.963833798169375,NA,1.525612240625,0,1,NA,NA
PSA001_Attractive,050,4,-0.596281783355333,0.46086135548816193,0.9247979322640625,0.75,0.75,-0.5497797146853016,-0.04650206867003137
PSA001_Attractive,051,3,-0.7431253774595414,0.5551585768349699,1.3142281419048611,0.6666666666666666,0.6666666666666666,-0.6406664346217987,-0.1024589428377427
PSA001_Attractive,054,2,-0.8939977836616667,0.05499673249808723,0.8069124772416667,1,1,-0.6351805637282952,-0.2588172199333715
PSA001_Attractive,055,4,-1.2897369863635415,0.5149669802507195,1.2262058457921876,0.5,1,-0.9256810904143089,-0.3640558959492326
PSA001_Attractive,075,1,-0.6633974021241041,NA,1.2358863545625,0,1,NA,NA
PSA001_Attractive,083,1,-0.9323588093125,NA,0.7605765408145834,1,1,NA,NA
PSA001_Attractive,113,4,-0.5081173742314299,0.38387970368068414,1.066179792956771,1,0.75,-0.6189769458128815,0.11085957158145165
PSA001_Attractive,114,8,-0.6468016704924602,0.6460640873017865,1.2312524074158855,0.5,0.625,-0.5716862452788769,-0.07511542521358328
PSA001_Attractive,117,2,-0.13773150247010835,0.29646638616312687,1.0375318671302083,1,0.5,-0.2848678123770775,0.14713630990696913
PSA001_Dominant,001,78,-0.001496315528214337,0.47370879981244723,1.3823259109912927,0.38461538461538464,0.23076923076923078,0.10833134234630981,-0.10982765787452414
PSA001_Dominant,002,51,0.11427268267089222,0.3945717668752994,1.318421395668219,0.5686274509803921,0.19607843137254902,-0.08899654599005791,0.20326922866095012
PSA001_Dominant,003,17,-0.12160270896988486,0.3921969183418612,1.4000820231416666,0.35294117647058826,0.17647058823529413,-5.447790794385066e-4,-0.12105792989044635
PSA001_Dominant,004,29,-0.03346982861584753,0.40525876294001184,1.221090258880747,0.5862068965517241,0.1724137931034483,-0.06492143320738153,0.031451604591533996
PSA001_Dominant,005,18,-0.04875854815357011,0.46003113907721294,1.4212040979453704,0.4444444444444444,0.16666666666666666,-0.020587057974191803,-0.028171490179378304
PSA001_Dominant,006,12,-0.08508773234691142,0.5158153905618369,1.36039004448125,0.4166666666666667,0.25,0.1522468663045753,-0.2373345986514867
PSA001_Dominant,007,3,0.00989282765820583,0.253949959401142,1.125955403013889,0.6666666666666666,0.3333333333333333,-0.06876819546145829,0.07866102311966412
PSA001_Dominant,008,7,-0.12499418984541436,0.46798453558034325,1.3162398348892856,0.2857142857142857,0.14285714285714285,0.12528142191191938,-0.2502756117573337
PSA001_Dominant,009,10,-0.05485809164017475,0.6553599440480075,1.2044040970541667,0.7,0.2,0.11653491190954668,-0.17139300354972142
